Cyclist♀ Karissa,Karissa,3,4
3
Team 1
Onix,Rock Slide,Bind,Dragon Breath,Sandstorm,Sitrus Berry,Adamant,Sturdy,31,31,0,0,0,0,108,108,0,0,0,0
Vigoroth,Slash,Counter,Encore,Uproar,Focus Band,Lonely,Vital Spirit,31,31,0,0,0,31,108,108,0,0,0,108
Prinplup,Whirlpool,Metal Claw,Peck,Double Team,Wacan Berry,Bashful,Torrent,31,31,0,0,0,31,108,108,0,0,0,108
Team 2
Gabite,Dragon Claw,Take Down,Sand Attack,Roar,Yache Berry,Hardy,Rough Skin,31,31,0,0,0,31,108,108,0,0,0,108
Mothim,Psybeam,Gust,Poison Powder,Bug Buzz,Coba Berry,Modest,Tinted Lens,31,0,0,31,0,31,108,0,0,108,0,108
Bayleef,Razor Leaf,Synthesis,Safeguard,Light Screen,Bright Powder,Docile,Overgrow,31,0,0,31,0,31,108,0,0,108,0,108
4
Team 3
Zangoose,Slash,Double Kick,Roar,Quick Attack,Persim Berry,Hardy,Toxic Boost,31,31,10,10,10,31,148,148,0,0,0,148
Carnivine,Power Whip,Crunch,Sweet Scent,Leech Seed,Rose Incense,Sassy,Levitate,31,0,31,0,31,0,148,0,148,0,148,0
Chansey,Substitute,Seismic Toss,Soft-boiled,Minimize,Sitrus Berry,Relaxed,Serene Grace,31,31,31,31,31,31,148,0,148,0,148,0
