Pokémon Breeder♂ Lester,Lester,4,5
4
Team 1
Sandslash,Crush Claw,Rock Slide,Earthquake,Sandstorm,Sitrus Berry,Adamant,Sand Rush,31,31,0,0,0,31,148,148,0,0,0,148
Purugly,Slash,U-turn,Attract,Fake Out,Silk Scarf,Adamant,Thick Fat,31,31,0,0,31,0,148,148,0,0,148,0
Fearow,Drill Peck,Tri Attack,Facade,Roost,Sharp Beak,Adamant,Keen Eye,31,31,0,0,0,31,148,148,0,0,0,148
Team 2
Fearow,Drill Peck,Tri Attack,Facade,Roost,Sharp Beak,Adamant,Keen Eye,31,31,0,0,0,31,148,148,0,0,0,148
Combusken,Ember,Double Kick,Quick Attack,Sand Attack,Scope Lens,Docile,Blaze,0,31,31,0,0,31,0,108,108,0,0,108
Qwilfish,Bubble Beam,Pin Missile,Spikes,Minimize,Cheri Berry,Impish,Intimidate,31,0,31,0,31,0,108,0,108,0,108,0
5
Team 3
Infernape,Fake Out,Mach Punch,U-turn,Overheat,Coba Berry,Quirky,Blaze,31,31,15,15,15,31,148,148,4,4,4,148
Kangaskhan,Thunderbolt,Focus Punch,Ice Beam,Drain Punch,Pecha Berry,Rash,Scrappy,31,31,15,31,15,15,148,148,4,148,4,4
Golem,Endure,Earthquake,Flail,Rock Tomb,Liechi Berry,Jolly,Sturdy,31,31,15,15,15,31,148,148,4,4,4,148
